epoch,weights,biases
500,"[1.071050693358572, 0.5761612668557583, 0.7484186613048741, 1.0580331834146586, -0.39107710234800136, 1.0754726969278618, 0.7099444657936556, 0.305802071891748, -0.667789041026992, -0.02721640555401522, -0.11893438256368612, 0.5220380982997292, 1.2353851591759053, 0.11364816727064142, 0.7864558173588322, 0.42429496952032425, -0.3749336630514016, -0.28724986467653085, 0.5322920393306171, -0.7757711519922699, -1.4122608830484475, 1.653548084322873, -0.765839983809417, -1.7408140815425404, -1.2790486314211948, -2.1268881020316335, -1.4726334653682622, 0.9092513225220316, -1.3022993239039167, -0.2354933969246272, 0.24965937833461344, 0.26537829631666626, 0.005680671491917378, 1.157077756537768, 0.3934140086368383, 0.3156809649113104, -0.26312443789906037, 0.031149772456569205, 0.7827656562459753, -0.38468625590670014, 0.2340428169022935, 0.3465230817349213, 0.974614309777126, 1.5749383373083063, 0.1438105434484283, -1.5247745995410775, 0.36727475053290876, -0.24406060357477521, -0.49894127994061893, -0.13614210828312912, 1.6809477195806428, 0.6188812311716868, -0.23798631061928857, -0.17146239125202928, -0.3855817628070331, 0.035315984603211385, -0.9502060507946808, 0.7067712263684625, 1.6972349084707832, 0.4969708786133328, -0.48701554375212097, 2.041756428076307, -0.08194827648495069, 1.055007621683773, 1.493196164056966, -1.147202667319147, 1.5101577872764949, -0.6052391405322519, -0.2578971646925201, 0.4934051556905099, -0.29852663062203894, -0.20904608752706372, -1.3657096428101703, 0.650687107570345, 0.1254378011204211, 0.5353890562527326, -0.9922618969729987, 0.2299495157019583, -0.4941559293567414, 0.2601749513193678, -1.0126551423395682, -0.630413487318998, -0.8797820860963573, -1.8899912040159723, 0.4161540441958396, 0.6844855933140146, -0.5745290041892099, -0.7922105925535043, -1.492997186046282, 0.6626651057786195, 0.8833941673070388, 0.6487250586044794, 0.04225988053770692, 0.14328875388556847, 0.7370170280664075, 0.3734494427396197, -2.490374729184472, -0.22275698974040908, -1.1793281971925844, -0.60695383887759, -0.8549916715339951, 0.17734546034913715, 1.4780551026657185, -1.0850173759147415, -0.7437745132526932, 1.1997671195981585, -1.6000579612294334, -0.22263013379919716, 1.8897866692403407, -0.4212543331916284, 0.7347981201498045, -0.6111460766202468, 2.05815325280515, 0.9414854632659837, 0.024088775662879626, -0.6292197675080137, 1.59188755434599, 1.257016564721774, 2.3006210831774085, -0.03172402630918274]","[-2.2045649454669074, -1.1565152856014425]"
500,"[1.2868769941982219, -0.23297322848885002, 0.669044324502666, 1.3155285869795539, -0.709302478505903, 0.9155821377110239, -0.6497080746827085, 1.044775564158773, 0.054229141466334764, 0.41780971538136763, -0.3404941467010321, 0.8777077793351751, 0.1693805415755958, -0.5487701753111932, -1.2558579547489361, 0.9526745365045497, -0.7347668699837666, -0.602078922213008, 0.9785469881984694, -0.6881573351513047, -0.9475426277180067, 0.5273352985070764, -0.8079179955607922, -1.458442146425831, -0.26536989555488116, -1.1431684455113018, -1.9549642428404006, 1.1742664894336767, -0.735665339223853, -0.7261585260486778, 0.5570201266065072, -0.10675747036618603, -0.9255135643190319, -0.39212903326568765, -0.010408202937359442, -0.13433389049017389, 0.016011072738878102, -1.419892829821709, -0.35906608915154875, -0.5814908498570441, -0.14551490469652514, 1.19705433988839, -0.4938046725229538, 0.4576777588774832, -0.45182882476334296, -3.5367506295640676, -0.6455179323229294, -0.6997451937638096, -1.0185562127430952, 0.0022756831502136407, 1.9370434471147115, -0.030989793316723024, -1.106323630194492, 1.1817927769246417, 0.35056525850361075, 0.11306839624679321, -1.3937127156926215, 0.9032375047539122, 1.7736770247182627, 0.646859206464436, -0.6129188277636071, 1.1316122944832534, -0.30910863869621724, 0.9555225499252908, 1.3459218707620797, -0.9549280524929413, 1.501306267396362, -1.30542558211967, -0.042150042472070215, 0.6900171237760956, -1.0513194076595265, -0.9149472112591934, -1.6163107334661122, 0.4490809124756212, 0.33503826421398575, 0.5353890564614829, -0.9922618970315984, 0.22994951518095488, -0.4941559296652289, 0.2601749517200225, -1.0126551426028492, -0.6304134876913503, -0.8797820863903584, -1.8899912039281597, 0.4161540445717343, 0.6844855934245904, -0.5745290041650745, -0.7922105925789964, -1.4929971854134947, 0.6626651052971859, 1.824328797210426, 0.567087979435705, 0.01914599567524522, 0.7986993570964931, 0.8100957161780559, 0.27042971997462706, -1.6028162787594016, -0.5541746305466291, -0.40011614105664217, 1.1294292786062898, -1.033952410404303, 0.441939247936212, 0.576696264731013, -0.49703530030954896, -0.4811709666739342, 1.1997671192503885, -1.6000579604790872, -0.22263013332069742, 1.8897866691991703, -0.42125433277921365, 0.7347981196535739, -0.6111460761813365, 2.0581532521663286, 0.9414854627164373, 0.024088776008292886, -0.6292197678478153, 1.5918875534404897, 1.2570165644699152, 2.3006210838817203, -0.031724026327299884]","[-2.345695907560704, -1.0292875564652282]"
500,"[0.9344187353808714, 0.2976551553136479, 0.49224261920639684, 0.9080809766447187, 1.0660833334761555, 0.4886158782041053, 0.3039832937017262, 0.6010548164483637, -0.9386360455713633, 0.009203481280317135, 0.9713266143354653, 0.6479126020165528, 1.0870987588290764, 0.21441887541681093, 0.3536624962887971, 0.01576441094904942, -0.30133522649681244, -0.20585410827038905, 1.1590636001833394, -0.8867114932625768, -1.1891400247002701, 1.0452471085215065, 0.038480813501377095, -1.1808533961952132, -0.3163365705001893, -0.7009518255119733, -0.6364786249514074, 0.7074616117005149, -1.2742814254365527, -0.9723803415155555, 1.0640793871130925, 1.2999059332817053, 0.40641497240746727, 2.9943581972218665, 0.5557537431380095, -0.9468744944458986, 0.24689992569930694, -0.3319695184077483, 1.1461469162652376, 0.6816940218991708, 0.443391541545648, 1.1603668344489186, 0.05983192863790016, 0.48977926464874183, -1.011675685775727, -1.3769343262134983, -0.19339008733027396, -1.4808358368123042, -0.36865531398177653, -0.5663489103306587, -0.4304720445703912, 0.30765431738154286, -0.10619570511504661, -0.3631199772733326, -0.11357447974772655, -0.12502816392131394, -0.6992958839862793, 0.4483494392499062, 2.2517663681958076, -0.14786238541378846, -0.462885505361681, 1.9446712325944089, -0.10026509016274833, 1.4929783657577627, 1.0098448863339038, -1.732534797597299, 1.5633973026406398, -1.1200356438503296, -0.16286460551196127, 0.6962394185174193, -0.2851626897790722, -0.5394507880644931, -1.0806077617800434, -0.44390535439500806, 1.0267394191459502, 0.5353890558306309, -0.992261897135701, 0.22994951567661712, -0.49415592990853097, 0.2601749515412854, -1.0126551424061734, -0.630413487436829, -0.8797820857355876, -1.8899912039177538, 0.41615404445006743, 0.6844855931581986, -0.5745290042756831, -0.792210592384393, -1.4929971860230065, 0.6626651057196972, 0.8396410879756723, -1.4588092259052865, -0.657190356722778, -0.9730194411222646, -0.024229916460140093, 0.25107680121097087, -1.7292634101146556, 0.482558054201953, 0.34083549011572395, 0.35436355159902694, -1.711231503318949, 0.6751888566384892, 0.3200596202107215, -0.045889835911695334, -0.6499944982504393, 1.199767118961206, -1.6000579602734684, -0.22263013387190622, 1.889786668110316, -0.42125433254459416, 0.7347981195309886, -0.6111460759903218, 2.0581532514963206, 0.9414854628578434, 0.024088776190240968, -0.629219766718556, 1.5918875535156285, 1.257016564160265, 2.3006210823453284, -0.0317240264491521]","[-2.451560199895843, -1.2990773688562776]"
500,"[1.1882996560633152, 0.09943822431894134, 0.16908697363080244, 0.642162880412502, 0.5215023174172688, 1.1051188981188644, -0.25009530485600473, 0.2583780033011626, -1.312405820325081, 0.7074188101821306, 0.4016909493291497, 0.5292243410912352, 0.8687732192686033, 1.1565079831794083, -0.07096209844727777, 0.9130294973270493, 0.13497785683141136, 0.13584755659265033, 0.3930950488612667, -0.1429572171552846, -0.9495079314615792, 1.4551361195457067, -0.9635627602236759, -2.9022415388947715, -1.005022692765876, -1.3061898159143457, -0.5565996224386437, 0.4255156421191774, -1.2124815358618042, -0.6154669572710915, 0.8835795310919057, 0.30891140733634265, -1.0633214465122436, 0.546931425168051, 0.4001917386795853, 0.06210465083702804, -0.9005787914145545, -1.0653384053989678, 0.466468967901519, -0.8739248211449856, 0.9333516931613063, 1.188002737786727, 0.6818442437846777, 0.47887996702639685, -0.05163928257104773, -1.9423118077963175, 0.2069904203702184, 0.46748896021818176, -0.3482687700760294, -0.7472431530820679, 0.6198896209118779, 0.504600911151274, -0.35443654527028035, -0.07926191251376662, -0.9222989256784543, 0.06338004287947907, -1.0753340789052224, 0.7614957598355929, 1.4617465413517536, 0.6408387796749969, -0.6845298685298341, 1.2086734317902508, -0.4809893747401901, 0.9883468595554272, 1.0535280239856397, -0.9669985752043415, 1.0305623366593275, -0.6046867741551134, 0.14052383719986714, 0.4048801926745767, -0.9087066582478448, -0.5927938501441847, -1.2370453079520405, 0.47239791662664926, 0.2888851762694568, 0.5353890565863819, -0.9922618969882809, 0.22994951443284736, -0.49415592988298923, 0.26017495113355693, -1.0126551418357395, -0.630413485691035, -0.8797820867240236, -1.889991202622451, 0.41615404475148887, 0.684485593223651, -0.5745290042531773, -0.7922105923481402, -1.4929971867002736, 0.6626651047053725, 1.56546719111008, 1.4024662498137452, -0.12262972475424577, 0.07012492516920055, 0.22575941464522534, -0.4369991940761015, -1.2142422574892306, 0.012469400170091148, 0.32547777119933574, 0.6601501408386268, -1.0927529512743812, 1.653142146527846, 1.8398322942958167, -0.041135146082131, -0.287735142588888, 1.1997671197766313, -1.6000579611113768, -0.2226301334080304, 1.8897866691387877, -0.42125433284015, 0.7347981198778228, -0.6111460764410244, 2.058153252262766, 0.9414854627547086, 0.024088777029950492, -0.6292197689362715, 1.5918875538454496, 1.257016565512672, 2.300621084767057, -0.031724026602475995]","[-2.2386516464383797, -1.1156114958306367]"
500,"[1.811999351900103, 0.7354277525486478, 1.509192461194233, 0.791956487060094, -0.28626674376305394, 0.8213817714250723, 0.28936544684781784, 0.8999117795844909, -1.2164274789065739, -0.8555936533972387, 0.4696943607442701, 1.1035630963198808, -0.031723842943337736, 1.1585340080919075, -0.23806514408507126, 1.6133762050148248, -1.0073799909589822, -0.2687537213221274, 0.40522248094457264, -0.07140777006098033, -0.707531964771684, 1.5443767659457026, -0.5775779390477893, -0.8901897032226351, -0.13086617590242167, -1.6355522482222145, -0.739347456610392, 0.675747004047882, -1.073594545370009, -1.1742859176662526, 0.8460175901630385, 0.543656601430491, 0.04055743218965632, 0.4160265583754559, 0.661404637007335, -0.22964986318050187, -0.18376528555338462, -0.9747577445387297, 0.7552246284270876, -0.0935111200410394, 0.5733605301539803, 1.4643368284137623, 0.5437248341787799, 1.3387857365918552, -0.07318372066350921, -1.825702630640306, 0.30720947211796623, 0.08422749975753781, 0.026931949898004952, -0.4766721529799159, 0.764316698234545, 0.5888401990543879, -0.023781590604414073, 0.5314144803883807, -0.7263334194118092, 0.22684324608928458, -0.581508288461329, 0.4835872977926032, 1.6900752309606177, 0.522311899215241, -0.48234307569329726, 1.8842433882457277, -0.20539127497807275, 0.9897306174981717, 0.8174520402591843, -1.355732323207953, 0.9567362421884383, -0.9000010350936611, 0.24977470047175482, 0.05614876711771003, -0.4939886167857673, -0.7614490809836519, -1.6056934796615898, -0.07717414685439462, 0.5979024535155443, 0.5353890565318806, -0.9922618966113346, 0.22994951570360814, -0.49415592946555176, 0.2601749513609702, -1.0126551425775894, -0.6304134873393811, -0.8797820860489874, -1.8899912037144189, 0.4161540449285343, 0.6844855933484221, -0.5745290041863209, -0.7922105922433955, -1.4929971857761568, 0.6626651048187239, 1.8840348263082627, 0.7789224305933752, 0.3245341692592501, -0.3366983206152999, 0.6425803040210838, -0.4929744060407404, -1.9381877687927245, -0.8158429892618766, -0.027702022720759827, -0.2676072422910506, -1.8751989184656146, 1.7179394508363726, 0.8864682463233514, -1.3376702274658927, -0.46970801009883184, 1.1997671196254784, -1.6000579607318555, -0.22263013363733267, 1.8897866690299006, -0.4212543321108505, 0.7347981201116558, -0.6111460758823054, 2.058153252503706, 0.9414854632797413, 0.02408877586370701, -0.629219767505589, 1.591887553845701, 1.2570165651986702, 2.3006210840108117, -0.03172402679162509]","[-2.498980451302314, -0.8622827117778761]"
500,"[0.9710669252116018, -0.14586118744688945, 0.40441233245940567, 0.4852371174875375, -0.3146612788831569, 0.33343304116698247, -0.2319115278599411, 0.6638054996728455, -1.0936721726320136, 0.2092102604493655, -0.3516842356749231, 0.1321249337046476, 0.5516132859911997, 0.546471635873234, -0.6328237224779448, 1.1938489086635617, -0.039475021017829334, -0.06499663562009778, 1.301705237069744, -0.5375459019809692, -1.2203575115636087, 1.6194702632228428, -0.7246942036962215, -1.1647758050649253, -0.579419016098371, -2.192040307658558, -0.5280593624642991, 1.3617661667317595, -0.5882062614048189, -0.18831677372104078, 0.22720835204678988, -0.2455686362406969, -2.413611928875851, -0.10971047954518323, 0.3609296377329863, 0.3927841701198386, 0.7310352690536991, -0.07732552716565563, 1.2823234593717956, -0.9578800190935096, 0.42565101305138053, 1.5279239231063366, -0.3699288715500409, 0.8399369276746876, -0.9571634542346945, -1.306570783831611, 0.3147781621711347, -0.15275943491235303, 0.08361387144950379, -0.058624055185019563, 1.6033990065918677, 0.5360917304410238, -0.3287872913659855, 0.5003283508117217, -0.592095801835083, 0.27948343166229855, -0.7018301315350939, 0.8795488221044758, 1.8763527195101857, 0.1275878676148907, -0.853956374812273, 1.274314008566296, -0.20687976623415968, 0.9959768601512275, 0.705412326074023, -1.0185259494438688, 0.7890466327685363, -0.13844445352601661, -0.4922797376293555, 0.01753193085495485, -0.510590563370832, -0.4037444862140464, -1.050819465195639, 0.6122666548573312, 0.08315759569838872, 0.535389055764096, -0.9922618970623965, 0.2299495152963272, -0.4941559298427611, 0.26017495179451994, -1.0126551425630044, -0.6304134874908146, -0.8797820862939003, -1.8899912034574706, 0.41615404440130993, 0.6844855936078733, -0.57452900421148, -0.7922105920608256, -1.492997185917515, 0.6626651052823854, -0.07334738289406904, -0.2218826567628578, -0.9893450722197124, 0.2757560962290542, 0.30579723001134157, -0.34319051357737945, -2.7316994458902566, -1.1956678939724446, -0.2329781304379382, -0.1527279558848677, -2.055146517681469, -0.15798898435003758, 1.6014188579426931, -1.3143340035350637, -0.7696461817097933, 1.199767119075384, -1.6000579604034375, -0.22263013300571943, 1.8897866688500882, -0.4212543330887739, 0.7347981196696074, -0.6111460755734989, 2.058153252234629, 0.9414854620714567, 0.024088775950951543, -0.6292197677171956, 1.591887553543879, 1.2570165647019664, 2.30062108393294, -0.03172402572445408]","[-2.4852523605653807, -1.1675715906837913]"
500,"[0.8484709814027656, -0.04410302298559281, 0.41835851408144864, 1.1295075756528847, 0.4215825904446476, 0.17926548589934183, -0.37138322600268414, 0.7029492967393578, -0.006482225001502774, 0.31748735193246547, 0.5488097810246215, -0.38408742557616626, 0.3952699145405443, 0.8118954113286151, -0.09161833022428559, 0.8972092898821911, 0.27093202834941654, 0.8415227801358123, 0.8478532507204488, -0.1563113482107235, -0.8832214431325244, -0.3413048496744186, -0.31641733716059345, 0.060205474224324866, -0.05136388438985581, -1.534146198195423, 0.07023318823247122, 1.0340714271733984, -0.7667062919169788, -0.2822674326920397, 1.5027236324903146, -0.1573656530304408, -0.43451049484783266, 1.5683604983223354, 1.0907546701963755, -0.20279553543670725, -1.0606764964176059, -0.6483100207907083, 1.3610325764338866, -1.1600022627466309, 0.6679834050877566, 1.4046171988027119, -0.23444708124061145, 0.8791088467360842, -0.5651776737707636, -1.6516544698631428, 0.21693838330580315, -1.1680106943944497, -1.1948615818074386, 0.21114018757666414, 1.7473646838393624, 0.1245714255368427, -0.14751734339108116, -0.5358885494614307, -0.1015678294916125, -0.046263303532430265, -0.46588662048056073, 0.3225291063750079, 1.3763621086098765, 0.19919248435506612, -0.8913926226608613, 1.4769440087622312, -0.42970532508454135, 0.933399429183295, 1.2338754827040388, -1.2625198141544414, 1.4913808567718145, -1.166995082105688, -0.2315887131860061, 0.2989419819836821, -0.6451379265440157, 0.016161148285307046, -1.519826508285183, 0.6943033216915228, 0.6741822871586013, 0.5353890558279647, -0.9922618968808419, 0.22994951582486023, -0.49415592965519906, 0.26017495167470095, -1.0126551429452595, -0.6304134875132953, -0.8797820863307659, -1.8899912042678573, 0.4161540440757641, 0.6844855937368831, -0.5745290046067718, -0.7922105924436864, -1.492997185261075, 0.6626651051783157, 0.2587073833864359, -0.8258538725190937, 0.44742402540888304, -1.5692638896874707, 1.0085621987566125, -0.674060810406314, -1.5894500230143782, -0.8626927669437178, 0.006411401929707572, 0.2744366019405567, -1.0978802104433956, 0.8647022583290029, 0.7812405485563972, -0.3623111382614301, -0.12294282617058623, 1.199767119387981, -1.6000579602412015, -0.22263013371946633, 1.8897866687463707, -0.42125433403431184, 0.734798120231515, -0.6111460770408745, 2.0581532529590087, 0.9414854632118395, 0.024088774183788186, -0.6292197668366407, 1.5918875537010908, 1.2570165635686714, 2.3006210828677705, -0.031724025661097506]","[-2.5217403674464025, -1.239609019675642]"
500,"[1.057781094357735, 0.8199759742688423, 0.06664999227372617, 0.7558602450820989, -0.36354956602292354, 1.099649342562379, 0.6182649622879248, 0.6907598032741619, -1.1772130602622757, 0.1745701764358046, 0.5273952430477727, 0.9638083241447764, 0.46274309515714235, 1.00832133532856, 0.4103402707754767, -0.24645117968189129, 1.3814816582216527, -0.725009753343702, 0.41017159501137707, -0.4229688303072093, -0.8280312120717707, 0.4975218220746421, 0.09237250099726416, -1.4920693514011625, -1.2099733225682394, -2.0087109451504284, 0.8169702274473777, 0.7794343846695323, -1.2432074618373492, 0.200695965042862, 0.11700201848609611, -1.0045141320276527, -0.5102379605972027, 1.4339793692375382, 0.11855820869413869, -0.2560370162232813, 0.05900554203061624, 0.056413766132755186, 0.5901972704436704, 0.14461386586474728, 0.6902137943681698, 0.9513025950500914, -0.03311690956343623, 1.058201400487817, -0.5254020441426714, -1.5904154478285226, 0.49403324032629303, -0.4152877025646973, -0.2988788772531635, 0.2998459240109096, 1.592998286775516, 0.528210437635586, -0.19937041143095874, 0.8000491967536663, -0.5307427295876032, -0.27038108626437607, -0.43187581003206554, 0.3801510907311404, 1.6345870482040665, 0.13974257382211022, 0.34482444745857027, 1.5172907327306626, -0.5248442970887903, 1.073889216041034, 1.41598699797371, -0.6579977592458026, 0.8425384810168303, -0.28575881460598557, -0.029962582262093362, 0.02931584197025098, -0.7342538891197831, -0.6474888014785041, -1.0522092898980004, -0.37763313939342613, 0.1324805457106952, 0.5353890567883813, -0.9922618977689208, 0.22994951573201605, -0.49415592952551124, 0.2601749520698218, -1.0126551419717145, -0.6304134870112976, -0.8797820857127471, -1.889991203297246, 0.4161540448215628, 0.684485593620254, -0.5745290040282955, -0.7922105926742312, -1.4929971862380285, 0.6626651057203221, 1.1331115418929367, -0.09277284178999518, -0.3201269128216875, -0.2947235836982178, 0.04970028138142003, 0.4748771051838456, -1.7071261093661838, 0.766153999742947, -0.7364820094146814, 0.21391752386865098, -1.8062957024678588, 0.9566943480411354, 1.0753746585219504, -0.14510120209144153, -0.44655131852852264, 1.1997671194332495, -1.6000579616530741, -0.22263013392715103, 1.8897866686374674, -0.42125433300793297, 0.7347981206944315, -0.6111460769902215, 2.0581532520903303, 0.9414854629715086, 0.02408877735425452, -0.6292197667716173, 1.5918875543965716, 1.2570165644608127, 2.3006210829816385, -0.031724026858876465]","[-2.2688489665488105, -1.1553953677478077]"
500,"[0.5749099022387397, -0.2466837115287309, 1.2741208711037206, -0.045453183017456725, -0.07764308316919746, -0.1934108170415844, 0.901775752193867, 0.33787850050447105, -0.06113515149548372, -0.04816549451623877, 0.5958297612463913, 0.8436882128185502, 0.7840549958244113, -0.2610586867450857, -0.1478141250274136, 0.6376613011909836, 0.21351557487960765, -0.8224988228461144, 0.7049559549539599, -0.48561692587619004, -0.2979872406909809, 0.5044295021017691, -1.3258792346390087, 0.16489012056205055, -0.8900548101975954, -1.1956154889168116, -0.3044127263949646, 0.5477873429840885, -0.8914461609823243, 0.48482862762377693, 1.0299451197104152, 0.4405538962867125, -1.6957511649980446, 1.2821518115918984, 0.25404998823218433, -1.0448188393303641, -1.0694076827989059, 0.15883150403293972, 0.3912943190070511, -0.8853403509667334, 0.2596085875766124, 1.587187183508782, -0.05693321455331062, 1.5675350940178916, -0.6085296284065739, -1.3512727399527764, 0.09324796370995903, -0.45066131897215717, -0.10093139676982239, 0.5757745568840557, 0.47472526339626403, 0.5541337387253674, -0.5482890186752684, -0.812977409222378, -1.5666820269592212, 0.4110631485042355, -0.3770593834798608, -0.4330733944821129, 1.6043132405741165, -0.05990923403362317, 0.17941896088681178, 1.2761904512896463, 0.33481368452049615, 1.1217094433434833, 1.3504528158583355, -0.5314328751312055, 0.48676724200537375, -0.715204080405505, 0.5542038764870538, 0.6202856405258441, -0.42257326735351386, 0.3561742644029036, -1.2702457167707388, -0.22648791068928487, -0.261612226655952, 0.5353890560896631, -0.9922618974775819, 0.22994951574435307, -0.49415593010734693, 0.26017495193547324, -1.012655142516555, -0.6304134874429193, -0.8797820858457887, -1.8899912039654092, 0.4161540442715827, 0.6844855937177695, -0.5745290041683107, -0.7922105926312298, -1.492997185898559, 0.6626651055391137, 0.8421303405305367, -0.13996223915718195, 0.20947683606332423, -1.4981506667759525, -0.11494187623036235, -0.46483302157337525, -1.7958124157894502, 1.771355577470909, 0.2599489711337095, 1.1366647003630679, -1.8872373752950842, 1.4142616911970627, 0.7537151245445464, -0.6933473969060041, 0.03911251759460824, 1.1997671197651356, -1.6000579603599843, -0.22263013334980242, 1.8897866698868224, -0.42125433327374096, 0.7347981192089876, -0.6111460758231034, 2.058153252936501, 0.9414854628978595, 0.024088775544163003, -0.6292197680977963, 1.5918875536487658, 1.2570165651867347, 2.300621084082337, -0.031724025872860516]","[-2.4138893546415305, -1.1869556851569698]"
500,"[1.206135989663471, -0.44640731924771426, 0.19183886661068217, 1.0810404015413206, -0.5738934650767522, 1.084685373100076, 0.09135462117244274, 0.2037475690486802, 0.18898315853223505, 0.14615011482594178, 0.8264068664585128, 0.42403349184161965, 0.024115515283192054, 1.052234532538952, -1.4636708444820832, 1.0100488890954715, 0.6283441671587193, -0.3319596949387408, 0.30287182509979454, -0.3373767808257636, -0.6655799300966794, -1.0147417265785228, -3.47139577454381e-05, 0.2410274524792083, 0.10075632776405744, -0.42810477729626234, -0.12650824945757613, 0.5449963303241334, -1.2468740694452392, 0.39979200054090747, 0.9038262548678132, 0.1829286441150103, -0.5640683102610797, 0.784320676389303, 0.2312872658716837, -0.6088100478136028, 0.31230532440060793, -0.8475134669795484, 1.8404336487688697, -0.6072809981929811, 0.17732359900732453, 0.537918053194166, 0.8729107803152696, 1.9855307450881128, -0.8042526555862867, -1.0832740389434299, -0.21683493496508618, -1.0831310554580178, -0.5291814987010954, -0.04807217788917971, 0.22507838486860032, 0.16931818031478416, -0.499462982883855, -0.06694652055552046, -0.7525898322033544, 0.06945119214956255, -0.4503100099455974, -0.047201238394495255, 2.214090639419481, 0.18621195426146941, -0.49771042091739537, 1.4739330425859143, 0.09843288331835888, 1.3934645504305678, 1.095470732961197, -0.9644264834723579, 1.2598175257422242, -0.868516173820359, -0.4090499973810833, 0.5287148189250004, -0.756940942533747, -0.5930124807673625, -0.762954632055713, 0.3915639364954439, 0.5600502785823491, 0.535389055858056, -0.992261897240457, 0.22994951558672255, -0.49415592985306644, 0.2601749524612948, -1.0126551422096361, -0.6304134874039924, -0.8797820857622247, -1.8899912038867033, 0.41615404410221674, 0.6844855934403271, -0.5745290042336595, -0.7922105928316667, -1.49299718542605, 0.6626651053751788, 2.2356770068953704, -0.5371297651633481, -1.4942854422601972, -0.40876560695895686, -0.03644591612574006, -1.1849688998234427, -1.055873854832525, 0.7336226773910848, 0.07155726168533016, 0.8407562716412725, -0.5196008390806798, -0.6092176785547936, 1.8434332449538693, -1.0165121744928594, 0.3266942993103224, 1.1997671193537436, -1.600057960962058, -0.22263013296377485, 1.8897866697156358, -0.42125433437886345, 0.7347981199092255, -0.6111460763778965, 2.05815325259564, 0.9414854626041923, 0.02408877595350252, -0.6292197682683255, 1.5918875536963804, 1.2570165643268363, 2.3006210847260604, -0.03172402586235716]","[-2.5053634109006637, -1.2378085186614598]"
