train_acc,train_cost,val_acc,val_cost
0.675382773802972,1.8637521151472856,0.765991869918699,1.768567239197952
0.8027622454595489,1.7369806354163182,0.8069349593495936,1.713710330817398
0.824786736378646,1.7010116650213225,0.8181463414634148,1.6898256380348025
0.8371210787011559,1.6834290446058835,0.8309186991869918,1.673440923993588
0.8444966978536046,1.670787159033558,0.8424227642276422,1.6631351794000144
0.8510079801871216,1.6626880458338846,0.8493008130081301,1.6577294527568422
0.8540762245459547,1.6550642447867543,0.8471138211382113,1.653602419429256
0.857403137039075,1.6517431061759695,0.8508617886178862,1.6452237317677174
0.8598670886075949,1.6462227609488058,0.8516341463414633,1.6413064537704594
0.8618932305998901,1.641588185939673,0.8514878048780488,1.6361002199750387
0.8632746285085304,1.6374846876889282,0.8588455284552845,1.6350098960273307
0.8657424325811774,1.6346767666266764,0.8605121951219511,1.6324104408941358
0.8665888827738032,1.6335064378459534,0.8655772357723577,1.6284961506735922
0.8687671986791414,1.6297160505297086,0.8666178861788617,1.6248711365218862
0.870501926252064,1.627202389002172,0.866951219512195,1.6239855508424643
0.8695310952118878,1.6255208385307487,0.866910569105691,1.623324392457416
0.8718957072096865,1.6228558153935515,0.8717235772357723,1.620756256943838
0.8719031370390757,1.621284760427908,0.866951219512195,1.6206177212490678
0.8729232250963126,1.6197196050971687,0.8689105691056911,1.6188689356624106
0.8734812878370939,1.6187085431396893,0.8744959349593495,1.6178931861162795
0.8739540451293337,1.6164286875587792,0.8715772357723578,1.6129245487524095
0.8748249862410568,1.61432753446408,0.8729105691056911,1.613400870781229
0.8750250412768297,1.614129149068086,0.8734959349593496,1.6125475986166302
0.8749424876169508,1.6125643284144835,0.8763495934959349,1.6113991740782874
0.8767394056136486,1.6118103433637645,0.8763089430894309,1.6094789400171692
0.8762716015410016,1.6104914573338989,0.8750162601626016,1.6099765275038649
0.8758296642817831,1.6105076756599852,0.8773089430894309,1.610254214102745
0.8774204733076499,1.6085541432745205,0.8784959349593495,1.6063275922687137
0.8771221794166206,1.6071630616800436,0.8784552845528455,1.6064050488655983
0.877216290588883,1.6068293836419607,0.8813089430894309,1.6075261803953864
0.8785044028618604,1.6057792653724403,0.8819349593495934,1.6042431198567988
0.8788684645019262,1.6056921768546206,0.8791626016260162,1.6047503439877735
0.8790349477160155,1.6038144676634547,0.8796829268292683,1.6031692058890947
0.878717666483214,1.6035390381306256,0.8817886178861789,1.6015905583325711
0.8792773802971933,1.6026765369913527,0.8837886178861788,1.601728784545532
0.8792798569069895,1.601273668829663,0.8845609756097561,1.599812449168402
0.8801130985140341,1.6011774245540469,0.8804552845528456,1.5999623117510609
0.8806799669785359,1.6004167605889272,0.8798292682926828,1.5994551183424257
0.8801772151898734,1.599318655925898,0.886560975609756,1.5987495107424106
0.8810957622454596,1.5995578582549026,0.8875609756097561,1.5988778645862445
0.881191249312053,1.5980054395997425,0.8842682926829268,1.5980775903241486
0.8820784259768849,1.5981300730222612,0.8850813008130082,1.597802150393432
0.8813769950467804,1.5974642810351796,0.8882682926829268,1.5970211643855212
0.8817537149146945,1.596902288746804,0.8925203252032521,1.595890069672061
0.8822292239955974,1.5961158661300472,0.8864146341463415,1.5945947543671206
0.881753990093561,1.595398763327296,0.8868943089430895,1.5939938788154189
0.882785910842047,1.5958505223803376,0.889520325203252,1.5952401167343782
0.8828205833791966,1.5942045655487629,0.8867479674796748,1.5933182271303707
0.8835478811227298,1.5942781329141615,0.8884146341463414,1.5939701042956032
0.8827638965327461,1.593508006157115,0.8867886178861788,1.5934231942082713
0.884371,1.590126,0.886939,1.593633
0.889556,1.592546,0.88655,1.590958
0.887588,1.591257,0.886879,1.59058
0.886388,1.592034,0.88679,1.591958
0.882404,1.59363,0.886196,1.593943
0.882404,1.590997,0.886844,1.590968
0.881523,1.591642,0.885177,1.592689
0.888796,1.593022,0.885392,1.593046
0.88641,1.590915,0.88509,1.590951
0.887373,1.590308,0.885651,1.592913
0.881185,1.591159,0.885777,1.591471
0.889729,1.590645,0.885543,1.592529
0.888492,1.593719,0.886657,1.592534
0.882911,1.593232,0.885714,1.592143
0.882636,1.592534,0.885562,1.590361
0.882651,1.593486,0.886085,1.593341
0.883738,1.593215,0.885282,1.591283
0.885723,1.590746,0.886604,1.590746
0.884888,1.59357,0.885149,1.590163
0.883621,1.592157,0.886974,1.592364
0.886507,1.59323,0.886544,1.59271
0.882255,1.593584,0.885397,1.590066
0.883629,1.591272,0.885011,1.592048
0.884297,1.59044,0.886631,1.590906
0.885105,1.590912,0.886414,1.592581
0.888067,1.591708,0.886458,1.590697
0.882797,1.593272,0.886543,1.592764
0.885628,1.593443,0.885148,1.591547
0.886332,1.590028,0.885717,1.593747
0.881418,1.592043,0.885232,1.59055
0.886468,1.59167,0.886726,1.591364
0.882535,1.590888,0.886247,1.590454
0.881585,1.590479,0.885662,1.593699
0.88954,1.59135,0.885127,1.593509
0.889691,1.593772,0.885622,1.591032
0.888276,1.591293,0.88565,1.59264
0.883742,1.592075,0.886459,1.593269
0.881879,1.592812,0.886275,1.592221
0.887158,1.591455,0.886774,1.592119
0.884961,1.593887,0.885944,1.590967
0.882098,1.59385,0.885239,1.590372
0.885457,1.591007,0.886426,1.593589
0.881309,1.591989,0.886522,1.593602
0.889184,1.591204,0.886123,1.592532
0.883329,1.591139,0.886542,1.591356
0.886963,1.590148,0.885988,1.591397
0.883805,1.592438,0.886045,1.592904
0.885681,1.592011,0.885855,1.593588
0.88592,1.590206,0.885051,1.593548
0.882664,1.591115,0.885216,1.59312
